C.D.S.  -  SIMBAD4 rel 1.8  -  2022.07.08CEST16:43:04

Distance.distance <   16 & Distance.unit = 'pc' & maintype != 'cor' & nbref   > 10
----------------------------------------------------------------------------------

Number of objects : 1568

 #  |            identifier             |typ|      coord1 (Gal,J2000/2000)      |#bib|#dist| distance Q unit|  err-        err+     | method |     reference     
842 |GJ 505 B                           |PM*|334.4084954992606 +78.3041952388518|  78|    1|   10.9954  pc  |  -0.0028     +0.0028  |paral   |2020yCat.1350....0G
843 |GJ 3775                            |** |318.4048468512419 +64.3038707128002|  31|    1|   13.4327  pc  |  -0.1147     +0.1147  |paral   |2018yCat.1345....0G
844 |GJ 506                             |PM*|311.8590478558827 +44.0926137407206| 631|    1|    8.5344  pc  |  -0.0106     +0.0106  |paral   |2020yCat.1350....0G
845 |CE 303                             |LM*|308.2354367409762 +39.1771470231923|  26|    1|   15.0142  pc  |  -0.0220     +0.0220  |paral   |2020yCat.1350....0G
846 |WT 392                             |PM*|307.2897222622867 +21.1768742279532|  16|    1|   11.8604  pc  |  -0.0628     +0.0628  |paral   |2020yCat.1350....0G
847 |GJ 507 A                           |SB*|087.6798197020547 +80.0099251938843|  96|    1|   13.7036  pc  |  -0.0604     +0.0604  |paral   |2020yCat.1350....0G
848 |GJ 507 B                           |PM*|087.6513927094447 +80.0100367573744|  60|    1|   13.5276  pc  |  -0.0060     +0.0060  |paral   |2020yCat.1350....0G
849 |GJ 3779                            |PM*|014.1160022956280 +82.4274542195274|  60|    1|   13.7501  pc  |  -0.0069     +0.0069  |paral   |2020yCat.1350....0G
850 |GJ 513                             |PM*|334.3472721235515 +71.9597993951576|  61|    1|   19.112   pc  |  -0.0134     +0.0134  |paral   |2020yCat.1350....0G
851 |GJ 514                             |PM*|333.2309414834239 +70.9449249821860| 224|    1|    7.6276  pc  |  -0.0015     +0.0015  |paral   |2020yCat.1350....0G
852 |GJ 512 A                           |PM*|321.1668804277730 +59.1983007596713|  71|    1|   13.179   pc  |  -0.0099     +0.0099  |paral   |2020yCat.1350....0G
853 |GJ 512 B                           |PM*|321.1710249699728 +59.1991840638152|  28|    1|   13.2284  pc  |  -0.0770     +0.0770  |paral   |2020yCat.1350....0G
854 |PM J13219-1052                     |PM*|314.9585731785571 +51.2886826022128|  18|    1|   50.374   pc  |  -0.7823     +0.7823  |paral   |2020yCat.1350....0G
855 |LP 737-51                          |PM*|313.9523922689289 +47.8161283118042|  14|    1|   19.389   pc  |  -0.0123     +0.0123  |paral   |2020yCat.1350....0G
856 |GJ 3780                            |LM*|311.9335437283271 +36.3958251579561|  42|    1|   14.118   pc  |  -0.0212     +0.0212  |ST-L    |2020AJ....160...83S
857 |GJ 510                             |PM*|312.0452043426616 +33.8887180394392|  67|    1|   15.381   pc  |  -0.0162     +0.0162  |ST-L    |2020AJ....160...83S
858 |GJ 3786                            |** |311.893802867 +31.068773552        |  32|    1|   27       pc  | -11         +11       |paral   |2012ApJ...758...56S
859 |GJ 3777                            |PM*|309.4808536865065 +27.0952671609039|  20|    1|   13.6473  pc  |  -0.0057     +0.0057  |paral   |2020yCat.1350....0G
860 |GJ 519                             |PM*|076.9953686865663 +76.9698417377426|  94|    1|   10.9424  pc  |  -0.0022     +0.0022  |paral   |2020yCat.1350....0G
861 |GJ 3789                            |Er*|048.8762819523792 +80.8598618103446| 108|    1|   18.2857  pc  |  -0.1108     +0.1108  |paral   |2018yCat.1345....0G
862 |GJ 1171                            |PM*|353.3784757972217 +78.0009960278728|  29|    1|   14.963   pc  |  -0.0083     +0.0083  |paral   |2020yCat.1350....0G
863 |GJ 516 A                           |PM*|347.8592057368301 +75.9375149384606|  49|    1|   16.6402  pc  |  -0.0098     +0.0098  |paral   |2020yCat.1350....0G
864 |GJ 518                             |WD*|329.5570225583531 +64.1948824960803| 111|    1|    8.3502  pc  |  -0.0021     +0.0021  |paral   |2020yCat.1350....0G
865 |2MASS J13314894-0116500            |BD*|323.4301440748420 +59.9741455421177|  33|    1|   21.2195  pc  |  -0.6164     +0.6164  |paral   |2020yCat.1350....0G
866 |GJ 521.1                           |PM*|325.3558253741272 +56.5513317926892|  77|    1|   15.1055  pc  |  -0.0056     +0.0056  |paral   |2020yCat.1350....0G
867 |GJ 1175                            |PM*|314.4312257898865 +27.2969118964884|  96|    1|   15.692   pc  |  -0.0072     +0.0072  |paral   |2020yCat.1350....0G
868 |GJ 528 B                           |Er*|035.5589019041929 +77.1752661919882|  31|    1|   13.4916  pc  |  -0.0080     +0.0080  |paral   |2020yCat.1350....0G
869 |GJ 1179 B                          |WD*|020.5464914642459 +76.7360498221766|  65|    1|   11.8609  pc  |  -0.0040     +0.0040  |paral   |2020yCat.1350....0G
870 |GJ 1179 A                          |PM*|020.7413672724831 +76.7090738933133|  37|    1|   11.873   pc  |  -0.0037     +0.0037  |paral   |2020yCat.1350....0G
871 |GJ 525                             |PM*|358.6604259480608 +74.4984920239525| 113|    1|   12.913   pc  |  -0.0028     +0.0028  |paral   |2020yCat.1350....0G
872 |GJ 527                             |Ro*|358.9367359169750 +73.8889879970058| 943|    1|   15.6135  pc  |  -0.0266     +0.0266  |paral   |2020yCat.1350....0G
873 |GJ 526                             |Er*|351.5756384640760 +72.4130373583060| 321|    1|    5.4348  pc  |  -0.0007     +0.0007  |paral   |2020yCat.1350....0G
874 |2MASS J13464634-0031501            |BD*|330.86280948 +59.30687363          |  70|    1|   14.6     pc  |                       |plx     |2012ApJ...753..156K
875 |GJ 529                             |PM*|320.3366792618849 +38.7819533069128| 118|    1|   14.0691  pc  |  -0.0062     +0.0062  |paral   |2020yCat.1350....0G
876 |GJ 1177 B                          |PM*|316.4934032616557 +28.9545927812732|  24|    1|   14.569   pc  |  -0.0195     +0.0195  |ST-L    |2020AJ....160...83S
877 |LP 911-56                          |PM*|316.4418908190307 +29.5923342915075|  14|    1|   13.6162  pc  |  -0.0108     +0.0108  |paral   |2020yCat.1350....0G
878 |GJ 3817                            |PM*|353.2776563683490 +68.6385938456113|  43|    1|    9.3597  pc  |  -0.0036     +0.0036  |paral   |2020yCat.1350....0G
879 |GJ 538                             |SB*|352.4577136555404 +66.4473232029127| 167|    1|   15.1179  pc  |  -0.0618     +0.0618  |paral   |2020yCat.1350....0G
880 |GJ 536                             |PM*|335.0555075029475 +55.8134322579837| 143|    1|   10.4213  pc  |  -0.0027     +0.0027  |paral   |2020yCat.1350....0G
881 |LP 739-3                           |PM*|326.9187825129341 +46.4593936980013|  18|    1|   15.6227  pc  |  -0.0100     +0.0100  |paral   |2020yCat.1350....0G
882 |GJ 3820                            |LM*|323.9711162653369 +40.2539158551144|  53|    1|   10.8144  pc  |  -0.0045     +0.0045  |paral   |2020yCat.1350....0G
883 |GJ 540.2                           |LM*|332.4116523814447 +46.1221367906875|  71|    1|   31.3412  pc  |  -0.0352     +0.0352  |paral   |2020yCat.1350....0G
884 |2MASSI J1411213-211950             |LM*|326.6940672235294 +37.8258219959757|  26|    1|   45.606   pc  |  -0.5069     +0.5069  |paral   |2020yCat.1350....0G
885 |CD-30 11219                        |PM*|322.2559825341126 +28.5801235048306|  18|    1|   15.92    pc  |  -0.0061     +0.0061  |paral   |2020yCat.1350....0G
886 |G 165-58                           |PM*|065.2354922736157 +69.8942491615468|  23|    1|   13.613   pc  |  -0.0048     +0.0048  |paral   |2020yCat.1350....0G
887 |GJ 546                             |PM*|045.4336739814246 +69.9663279882171| 130|    1|   14.5242  pc  |  -0.0045     +0.0045  |paral   |2020yCat.1350....0G
888 |GJ 1182                            |SB*|348.3903578296270 +59.8850527323749|  42|    1|   13.8881  pc  |  -0.0708     +0.0708  |paral   |2020yCat.1350....0G
889 |GJ 3843                            |PM*|343.9652927369145 +54.4323959557467|  36|    1|   13.3731  pc  |  -0.0060     +0.0060  |paral   |2020yCat.1350....0G
890 |GJ 545                             |PM*|336.2949769025403 +47.4246240608181|  48|    1|   13.8266  pc  |  -0.0078     +0.0078  |paral   |2020yCat.1350....0G
891 |2MASS J14252798-3650229            |BD*|323.1178145506394 +22.3189011929969|  34|    1|   11.8453  pc  |  -0.0437     +0.0437  |paral   |2020yCat.1350....0G
892 |GJ 3849                            |LM*|054.9297364982973 +68.1752488281172| 237|    1|   10.9693  pc  |  -0.0119     +0.0119  |paral   |2020yCat.1350....0G
893 |GJ 557.0                           |PM*|045.6262285979275 +67.2008462087579| 588|    1|   15.756   pc  |  -0.0291     +0.0291  |paral   |2020yCat.1350....0G
894 |GJ 3856                            |LM*|012.6569068793720 +64.1475065978857|  38|    1|   15.777   pc  |  -0.0069     +0.0069  |paral   |2020yCat.1350....0G
895 |LP 500-35                          |PM*|007.4335222426236 +63.8918108605211|  24|    1|   13.2297  pc  |  -0.0101     +0.0101  |paral   |2020yCat.1350....0G
896 |GJ 552                             |PM*|010.9461155880533 +64.4614393726976| 122|    1|   14.2197  pc  |  -0.0042     +0.0042  |paral   |2020yCat.1350....0G
897 |LP 560-35                          |PM*|359.1537936207232 +59.5643945431911|  31|    1|   12.7289  pc  |  -0.0063     +0.0063  |paral   |2020yCat.1350....0G
898 |GJ 553                             |PM*|340.3470776891624 +46.8801466664285| 112|    1|   15.7822  pc  |  -0.0042     +0.0042  |paral   |2020yCat.1350....0G
899 |LP 326-21                          |LM*|046.3515318264575 +65.1189560781478|  21|    1|   14.781   pc  |  -0.0146     +0.0146  |paral   |2020yCat.1350....0G
900 |2MASS J14392836+1929149            |BD*|021.5629596125273 +64.1086855485131| 121|    1|   14.1733  pc  |  -0.0364     +0.0364  |paral   |2020yCat.1350....0G
901 |2MASS J14482563+1031590            |BD*|007.4957532091704 +57.8654675583044|  21|    1|   14.361   pc  |  -0.1098     +0.1098  |paral   |2020yCat.1350....0G
902 |GJ 3866                            |WD*|338.2992715350034 +37.0775370215434|  38|    1|   13.2988  pc  |  -0.0088     +0.0088  |paral   |2020yCat.1350....0G
903 |GJ 3873                            |PM*|058.4506001750092 +62.5445818051283|  50|    1|   14.9272  pc  |  -0.0052     +0.0052  |paral   |2020yCat.1350....0G
904 |G 166-49                           |PM*|048.8119652800874 +63.6292478249213|  29|    1|   13.0475  pc  |  -0.0067     +0.0067  |paral   |2020yCat.1350....0G
905 |GJ 568                             |** |032.4304760363023 +62.1793168505381|  74|    1|   11.372   pc  |  -0.0230     +0.0230  |paral   |2018yCat.1345....0G
906 |GJ 567                             |RS*|023.5506096638442 +60.9355359424228| 259|    1|   11.6288  pc  |  -0.0745     +0.0745  |paral   |2020yCat.1350....0G
907 |GJ 566 A                           |PM*|023.0858498853874 +61.3562544340096| 515|    1|    6.754   pc  |  -0.0060     +0.0060  |paral   |2020yCat.1350....0G
908 |GJ 566 B                           |PM*|023.0876274072774 +61.3580594645246| 348|    1|    6.749   pc  |  -0.0025     +0.0025  |paral   |2020yCat.1350....0G
909 |GJ 569                             |Er*|018.1542073090936 +59.4542834766700| 259|    1|    9.9478  pc  |  -0.0020     +0.0020  |paral   |2020yCat.1350....0G
910 |GJ 569 B                           |SB*|018.1572049589885 +59.4542246564567| 134|    1|   10.6594  pc  |  -0.0822     +0.0822  |paral   |2018yCat.1345....0G
911 |GJ 570 A                           |BY*|338.2422596502433 +32.6768463584130| 466|    1|    5.8863  pc  |  -0.0022     +0.0022  |paral   |2020yCat.1350....0G
912 |GJ 570 D                           |BD*|338.22642258 +32.74831445          | 205|    1|    5.8     pc  |                       |plx     |2012ApJ...753..156K
913 |GJ 570 B                           |SB*|338.23920286 +32.68326761          | 234|    1|    5.9     pc  |                       |paral   |2010A&ARv..18...67T
914 |GJ 563.2 B                         |PM*|333.5391770069604 +29.6529739272818|  47|    1|   20.7348  pc  |  -0.0144     +0.0144  |paral   |2020yCat.1350....0G
915 |GJ 563.2 A                         |SB*|333.5477048902753 +29.6524101797147|  60|    1|   20.7223  pc  |  -0.0146     +0.0146  |paral   |2020yCat.1350....0G
916 |GJ 3877                            |Er*|333.8888703082342 +27.0780609104545| 144|    1|    7.0527  pc  |  -0.0030     +0.0030  |paral   |2020yCat.1350....0G
917 |GJ 590                             |PM*|335.4326080432439 +14.3315237526249|  25|    1|   10.0822  pc  |  -0.0044     +0.0044  |paral   |2020yCat.1350....0G
918 |GJ 599 A                           |PM*|337.1629600583955 +12.9885238757583| 168|    1|   15.2465  pc  |  -0.0079     +0.0079  |paral   |2020yCat.1350....0G
919 |GJ 599 B                           |WD*|337.1635968777951 +12.9845144808925|  84|    1|   15.2232  pc  |  -0.0059     +0.0059  |paral   |2020yCat.1350....0G
920 |GJ 707                             |PM*|349.8905661599434 -11.7654864965703|  67|    1|   13.2079  pc  |  -0.0036     +0.0036  |paral   |2020yCat.1350....0G
921 |GJ 618 A                           |PM*|342.2729597866878 +08.9317785487771|  75|    1|    8.5127  pc  |  -0.0021     +0.0021  |paral   |2020yCat.1350....0G
922 |GJ 618 B                           |PM*|342.2713711361454 +08.9318389475143|  27|    1|    8.4976  pc  |  -0.0077     +0.0077  |paral   |2020yCat.1350....0G
923 |GJ 620.1 B                         |WD*|341.5322246645208 +07.2507798617899| 462|    1|   12.911   pc  |  -0.0072     +0.0072  |paral   |2020yCat.1350....0G
924 |GJ 620.1 A                         |PM*|341.6208711812534 +07.2126421140039| 328|    1|   12.892   pc  |  -0.0110     +0.0110  |paral   |2020yCat.1350....0G
925 |HD 150689                          |PM*|344.4659563245047 +04.4803164465836|  52|    1|   14.220   pc  |  -0.0040     +0.0040  |paral   |2020yCat.1350....0G
926 |GJ 2122                            |** |344.6992684654333 +04.4150677403342|  16|    1|   14.874   pc  |  -0.0533     +0.0533  |paral   |2020yCat.1350....0G
927 |HD 152705                          |PM*|345.8626719195596 +02.4933873183887|  16|    1|   15.683   pc  |  -0.0170     +0.0170  |ST-L    |2020AJ....160...83S
928 |GJ 2123                            |Er*|345.90817657 +02.50528279          |  43|    1|   15.78    pc  |  -1.02       +1.02    |ST-L    |2010MNRAS.403.1949K
929 |GJ 732 A                           |PM*|357.6951457709791 -16.9366484196060|  24|    1|   12.4356  pc  |  -0.0041     +0.0041  |paral   |2020yCat.1350....0G
930 |GJ 783 A                           |PM*|005.2331780474853 -30.9246616451346| 252|    1|    6.0122  pc  |  -0.0038     +0.0038  |paral   |2020yCat.1350....0G
931 |GJ 799 B                           |PM*|011.1393711969449 -36.3427740404722|  78|    1|    9.8065  pc  |  -0.0074     +0.0074  |paral   |2020yCat.1350....0G
932 |V* AT Mic                          |Er*|011.14051920 -36.34257856          | 343|    1|   10.70    pc  |  -0.42       +0.42    |ST-L    |2010MNRAS.403.1949K
933 |2MASSI J1546271-332511             |BD*|339.96457282 +16.58406919          |  28|    1|   11.4     pc  |  -0.2        +0.2     |ST-L    |2009AJ....137....1F
934 |CD-33 10873                        |** |342.109680418 +14.057113699        |  13|    1|   11.5     pc  |  -1.8        +1.8     |        |2004AJ....128..463R
935 |L 489-43                           |LM*|358.6688166708549 -16.3007930058773|  14|    1|   15.4462  pc  |  -0.0127     +0.0127  |paral   |2020yCat.1350....0G
936 |GJ 803                             |LM*|012.6546144900849 -36.8024952537245|1007|    1|    9.7140  pc  |  -0.0021     +0.0021  |paral   |2020yCat.1350....0G
937 |GJ 2112                            |PM*|339.2903698398458 +24.1998328295287|  19|    1|   11.6996  pc  |  -0.0034     +0.0034  |paral   |2020yCat.1350....0G
938 |2MASSI J1534498-295227             |BD*|340.30963762 +20.89424382          |  60|    1|   13.6     pc  |  -0.2        +0.2     |ST-L    |2009AJ....137....1F
939 |GJ 667 C                           |PM*|351.8396363826765 +01.4145429783807| 190|    1|    7.2429  pc  |  -0.0014     +0.0014  |paral   |2020yCat.1350....0G
940 |GJ 781.1 A                         |Er*|009.8997469359168 -29.1649347866240|  43|    1|   14.6808  pc  |  -0.0071     +0.0071  |paral   |2020yCat.1350....0G
941 |GJ 781.1 B                         |PM*|009.8985958993497 -29.1765338475318|  28|    1|   14.6876  pc  |  -0.0061     +0.0061  |paral   |2020yCat.1350....0G
942 |GJ 2147                            |WD*|011.8078960138143 -29.4049910126517| 233|    1|   16.2092  pc  |  -0.0084     +0.0084  |paral   |2020yCat.1350....0G
943 |GJ 2130 B                          |PM*|357.3651515818235 -01.7612856895829|  41|    1|   14.138   pc  |  -0.0232     +0.0232  |paral   |2020yCat.1350....0G
944 |GJ 2130 A                          |PM*|357.3619099001122 -01.7563539909522|  56|    1|   14.148   pc  |  -0.0037     +0.0037  |paral   |2020yCat.1350....0G
945 |GJ 785                             |PM*|015.6245403770670 -29.3974534086195| 293|    1|    8.8115  pc  |  -0.0040     +0.0040  |paral   |2020yCat.1350....0G
946 |GJ 791                             |PM*|015.7536791156463 -32.2398947319640|  57|    1|   14.300   pc  |  -0.0165     +0.0165  |ST-L    |2020AJ....160...83S
947 |SCR J2033-2556                     |PM*|018.2478210642759 -32.9998521406684|  27|    1|   43.662   pc  |  -0.0768     +0.0768  |paral   |2020yCat.1350....0G
948 |GJ 805                             |PM*|020.0036807516 -35.5006146228      | 209|    1|   14.2448  pc  |  -0.0799     +0.0799  |paral   |2018yCat.1345....0G
949 |EM* StHA 182                       |** |020.638302669 -34.774111568        |  34|    1|   13       pc  |  -3          +3       |paral   |2012ApJ...758...56S
950 |LP 860-41                          |PM*|345.9489615815658 +20.9696622973620|  17|    1|   10.598   pc  |  -0.0059     +0.0059  |paral   |2020yCat.1350....0G
951 |GJ 796                             |PM*|021.2637291075833 -33.7781179482365| 183|    1|   14.6723  pc  |  -0.0064     +0.0064  |paral   |2020yCat.1350....0G
952 |2MASS J15072779-2000431            |PM*|341.4707883106148 +32.4922766338447|  20|    1|   23.748   pc  |  -0.0797     +0.0797  |paral   |2020yCat.1350....0G
953 |GJ 663 A                           |PM*|358.2793920287048 +06.8792931817542| 259|    1|    5.9522  pc  |  -0.0047     +0.0047  |paral   |2020yCat.1350....0G
954 |GJ 664                             |RS*|358.4383512894576 +06.7505926577371| 291|    1|    5.9537  pc  |  -0.0011     +0.0011  |paral   |2020yCat.1350....0G
955 |GJ 663 B                           |PM*|358.2788940177672 +06.8780357040256| 236|    1|    5.9477  pc  |  -0.0038     +0.0038  |paral   |2020yCat.1350....0G
956 |* 36 Oph                           |** |358.2788979988 +06.8780379683      | 129|    1|    5.9603  pc  |  -0.0079     +0.0079  |paral   |2018yCat.1345....0G
957 |LP 869-26                          |** |016.6567639921601 -21.7934856369937|  17|    1|   14.8394  pc  |  -0.0385     +0.0385  |paral   |2020yCat.1350....0G
958 |GJ 770                             |BY*|017.1728919354718 -23.9127646486315| 123|    1|   14.1441  pc  |  -0.0070     +0.0070  |paral   |2020yCat.1350....0G
959 |LP 867-15                          |PM*|010.8643815203900 -08.5545749329424|  13|    1|   10.614   pc  |  -0.0032     +0.0032  |paral   |2020yCat.1350....0G
960 |GJ 729                             |Er*|011.3071924699349 -10.2845404820555| 353|    1|    2.9759  pc  |  -0.0002     +0.0002  |paral   |2020yCat.1350....0G
961 |RX J1942.2-2045                    |PM*|019.2647247153694 -20.1523272044851|  20|    1|   15.849   pc  |  -0.0070     +0.0070  |paral   |2020yCat.1350....0G
962 |2MASSW J1507476-162738             |BD*|344.1156750435470 +35.2845690807571| 180|    1|    7.4102  pc  |  -0.0143     +0.0143  |paral   |2020yCat.1350....0G
963 |HD 139763                          |PM*|349.9341646904299 +28.9958656348087|  37|    1|   15.581   pc  |  -0.0057     +0.0057  |paral   |2020yCat.1350....0G
964 |GJ 722                             |** |012.7250979984012 -06.7964836281872| 187|    1|   13.031   pc  |  -0.0084     +0.0084  |paral   |2020yCat.1350....0G
965 |GJ 592                             |PM*|352.3526890905073 +32.4244212513301|  51|    1|   13.9927  pc  |  -0.0070     +0.0070  |paral   |2020yCat.1350....0G
966 |2MASS J15345704-1418486            |LM*|351.7850399029284 +32.6362713642152|  22|    1|   10.9383  pc  |  -0.0133     +0.0133  |paral   |2020yCat.1350....0G
967 |G 154-52                           |PM*|011.6213614709152 -01.1070487336597|  13|    1|   14.6044  pc  |  -0.0043     +0.0043  |paral   |2020yCat.1350....0G
968 |GJ 716                             |PM*|013.8370640826149 -04.2403016810536| 124|    1|   13.157   pc  |  -0.0112     +0.0112  |ST-L    |2020AJ....160...83S
969 |GJ 810 A                           |SB*|033.7804919573982 -33.7725577305785|  45|    1|   11.7846  pc  |  -0.0653     +0.0653  |paral   |2020yCat.1350....0G
970 |GJ 1224                            |Er*|013.7578974300216 +02.1470798513074|  86|    1|    7.9712  pc  |  -0.0019     +0.0019  |paral   |2020yCat.1350....0G
971 |GJ 2138                            |** |018.5918666282809 -03.8073159388589|  48|    1|   13.3704  pc  |  -0.0094     +0.0094  |paral   |2020yCat.1350....0G
972 |LP 755-19                          |LM*|033.3805983526566 -26.7402629333305|  21|    1|   18.331   pc  |  -0.0109     +0.0109  |paral   |2020yCat.1350....0G
973 |LP 756-3                           |PM*|035.1438452741536 -30.8813947933200|  26|    1|   19.3679  pc  |  -0.0096     +0.0096  |paral   |2020yCat.1350....0G
974 |GJ 811.1                           |PM*|037.8172202752512 -32.5370729470296|  94|    1|   16.1352  pc  |  -0.0071     +0.0071  |paral   |2020yCat.1350....0G
975 |GJ 3894                            |PM*|350.0608038351228 +39.4562653528532|  25|    1|   15.2663  pc  |  -0.0072     +0.0072  |paral   |2020yCat.1350....0G
976 |GJ 3916                            |SB*|357.2168603822206 +32.8567552499238|  56|    1|   15.996   pc  |  -0.0709     +0.0709  |paral   |2018yCat.1345....0G
977 |2MASS J15551573-0956055            |BD*|359.5917334611266 +32.0579372575280|  26|    1|   13.5171  pc  |  -0.0248     +0.0248  |paral   |2020yCat.1350....0G
978 |GJ 628                             |BY*|003.3517082158733 +23.6799292040627| 286|    1|    4.3077  pc  |  -0.0004     +0.0004  |paral   |2020yCat.1350....0G
979 |2MASS J16452211-1319516            |BD*|005.1423104004001 +20.3388200747516|  32|    1|   11.2743  pc  |  -0.0153     +0.0153  |paral   |2020yCat.1350....0G
980 |GJ 2135                            |WD*|018.1413683215293 -00.0271099298359|  24|    1|   19.0588  pc  |  -0.0140     +0.0140  |paral   |2020yCat.1350....0G
981 |GJ 3889                            |WD*|351.2347148780763 +42.6800137737495|  30|    1|   26.967   pc  |  -0.0311     +0.0311  |paral   |2020yCat.1350....0G
982 |GJ 606                             |PM*|001.9798323423874 +32.2732523352632|  71|    1|   13.281   pc  |  -0.0041     +0.0041  |paral   |2020yCat.1350....0G
983 |GJ 616                             |PM*|004.6952133255579 +29.1570090612223| 543|    1|   14.1369  pc  |  -0.0126     +0.0126  |paral   |2020yCat.1350....0G
984 |GJ 643                             |PM*|011.0483167273849 +21.1608762756488| 207|    1|    6.4987  pc  |  -0.0020     +0.0020  |paral   |2020yCat.1350....0G
985 |GJ 644                             |SB*|011.0446210734 +21.1411393159      | 505|    1|    6.5     pc  |                       |paral   |2010A&ARv..18...67T
986 |GJ 644 C                           |Er*|011.0082579251619 +21.0866551096272| 412|    1|    6.4949  pc  |  -0.0024     +0.0024  |paral   |2020yCat.1350....0G
987 |Wolf 1473                          |SB*|017.5657800625274 +10.1911220533259|  24|    1|   13.0657  pc  |  -0.0061     +0.0061  |paral   |2020yCat.1350....0G
988 |2MASS J15394189-0520428            |BD*|000.7393804631987 +37.9781585462159|  33|    1|   16.8732  pc  |  -0.0932     +0.0932  |paral   |2020yCat.1350....0G
989 |2MASS J17072343-0558249            |** |014.86880067 +19.92175903          |  26|    1|   15.1     pc  |  -1.9        +1.9     |        |2008AJ....136.1290R
990 |GJ 754.1 A                         |WD*|029.3567586547290 -09.9445274569210| 211|    1|   10.507   pc  |  -0.0032     +0.0032  |paral   |2020yCat.1350....0G
991 |GJ 754.1 B                         |PM*|029.3581594751679 -09.9370985905400|  51|    1|   10.507   pc  |  -0.0034     +0.0034  |paral   |2020yCat.1350....0G
992 |LP 624-54                          |PM*|009.6721547904678 +32.6689134719900|  13|    1|   14.5034  pc  |  -0.0175     +0.0175  |paral   |2020yCat.1350....0G
993 |SIPS J1607-0442                    |LM*|006.6854691954195 +32.9764081865861|  11|    1|   15.2701  pc  |  -0.0260     +0.0260  |paral   |2020yCat.1350....0G
994 |GJ 1207                            |Er*|014.8997357804141 +22.9563324452065|  90|    1|    8.7020  pc  |  -0.0019     +0.0019  |paral   |2020yCat.1350....0G
995 |GJ 653                             |PM*|015.3675201183543 +20.8921382414265| 216|    1|   10.4639  pc  |  -0.0026     +0.0026  |paral   |2020yCat.1350....0G
996 |GJ 654                             |PM*|015.3664070629622 +20.8409006339451| 157|    1|   10.4647  pc  |  -0.0023     +0.0023  |paral   |2020yCat.1350....0G
997 |2MASS J17054834-0516462            |BD*|015.2780032342854 +20.6216243487803|  38|    1|   18.825   pc  |  -0.0852     +0.0852  |paral   |2020yCat.1350....0G
998 |GJ 701                             |PM*|024.8765926941551 +08.8737348294304| 213|    1|    7.7388  pc  |  -0.0015     +0.0015  |paral   |2020yCat.1350....0G
999 |HD 165944                          |Ro*|024.0350000956892 +07.4418585663478|  12|    1|  195.442   pc  |  -0.9206     +0.9206  |paral   |2020yCat.1350....0G
1000|GJ 726                             |PM*|029.2386102516310 -00.7740761511206|  89|    1|   14.2585  pc  |  -0.0052     +0.0052  |paral   |2020yCat.1350....0G
1001|2MASS J20575409-0252302            |BD*|045.7873060943632 -29.2640939342531|  54|    1|   15.454   pc  |  -0.0396     +0.0396  |paral   |2020yCat.1350....0G
1002|GJ 631                             |BY*|013.7250560975761 +28.4120001169253| 464|    1|    9.8939  pc  |  -0.0049     +0.0049  |paral   |2020yCat.1350....0G
1003|GJ 660                             |** |019.25747621 +21.07996515          |  65|    1|   10.18    pc  |  -1.25       +1.25    |ST-L    |2010MNRAS.403.1949K
1004|GJ 772                             |WD*|039.5568430227358 -14.9207112835996| 129|    1|   11.5653  pc  |  -0.0021     +0.0021  |paral   |2020yCat.1350....0G
1005|HD 133234                          |*  |358.8259917651080 +48.8974127129953|  11|    1|  152.814   pc  |  -0.5581     +0.5581  |paral   |2020yCat.1350....0G
1006|HD 135599                          |BY*|001.8216279716166 +46.4713651356949| 107|    1|   15.819   pc  |  -0.0057     +0.0057  |paral   |2020yCat.1350....0G
1007|2MASS J16241436+0029158            |BD*|014.58365820 +32.47837419          | 136|    1|   11.0     pc  |                       |plx     |2012ApJ...753..156K
1008|HD 149806                          |PM*|016.3421282297991 +29.6169721054971|  68|    1|   20.324   pc  |  -0.0092     +0.0092  |paral   |2020yCat.1350....0G
1009|GJ 3967                            |Er*|017.2252711363222 +29.2184454047778|  39|    1|   11.275   pc  |  -0.0037     +0.0037  |paral   |2020yCat.1350....0G
1010|GJ 673                             |PM*|024.7576364469955 +19.9755378566000| 319|    1|    7.7133  pc  |  -0.0010     +0.0010  |paral   |2020yCat.1350....0G
1011|GJ 702 A                           |SB*|029.8934138988001 +11.3671561937098| 213|    1|    5.1133  pc  |  -0.0051     +0.0051  |paral   |2020yCat.1350....0G
1012|GJ 702 B                           |PM*|029.8927417488281 +11.3658139984329| 111|    1|    5.1057  pc  |  -0.0066     +0.0066  |paral   |2020yCat.1350....0G
1013|GJ 708.3                           |PM*|030.2699302658024 +08.5102890119544|  37|    1|   15.8963  pc  |  -0.0063     +0.0063  |paral   |2020yCat.1350....0G
1014|GJ 4129                            |PM*|042.5752455370247 -13.8548630217536|  35|    1|   15.5893  pc  |  -0.0059     +0.0059  |paral   |2020yCat.1350....0G
1015|GJ 9527                            |PM*|009.6984825974129 +41.9675624382220| 204|    1|   14.793   pc  |  -0.0079     +0.0079  |paral   |2020yCat.1350....0G
1016|GJ 1214                            |PM*|026.1640350986908 +23.6107452581176| 282|    1|   14.6416  pc  |  -0.0139     +0.0139  |paral   |2020yCat.1350....0G
1017|GJ 9592                            |PM*|028.5747764375721 +20.5423456949706| 136|    1|   10.117   pc  |  -0.0016     +0.0016  |paral   |2020yCat.1350....0G
